title,total_ratings,install_million,avg_rating,growth_30days,growth_60days,Category,5_star_rating,4_star_rating,3_star_rating,2_star_rating,1_star_rating,price,paid
Bed Wars,771254,50,4,3,6.6,Action,542497,74237,39639,20325,94553,0,FALSE
Ludo STAR,769196,10,4,2.1,4.5,Board,597616,56899,32850,14912,66917,0,FALSE
Dungeon Hunter 5,765525,10,3,0.1,0.2,RolePlaying,453136,95928,54217,30073,132169,0,FALSE
Turbo Dismount™,765250,50,4,0.3,0.7,Simulation,515008,89015,53159,25335,82731,0,FALSE
Final kick 2020 Best Online football penalty game,764961,10,4,0.1,0.1,Sports,529693,100865,47391,16992,70017,0,FALSE
Modern Ops - Online FPS (Gun Games Shooter),764042,10,4,3,7.1,Action,585204,77395,31524,15502,54414,0,FALSE
Mini Golf King - Multiplayer Game,763809,10,4,0.2,0.5,Sports,469929,152955,62157,21875,56891,0,FALSE
DomiNations,762869,10,4,0.6,0.7,Strategy,466955,107353,49516,27844,111198,0,FALSE
The Wolf,758951,10,4,1.9,3.4,RolePlaying,567469,91326,36052,16252,47850,0,FALSE
Truck Simulator 2018 : Europe,758948,100,4,2.9,6,Simulation,514724,70767,45153,28608,99693,0,FALSE
Cooking Mama: Let's cook!,758930,50,4,0.6,1.3,Educational,569677,64417,38966,21992,63877,0,FALSE
World at Arms,757664,10,4,0.1,0.1,Strategy,472981,111421,60179,22066,91014,0,FALSE
Bullet Force,756002,10,3,0.1,0.1,Action,434187,90078,58506,35311,137917,0,FALSE
Huuuge Casino,755734,10,4,0.4,1,Casino,533316,88102,42476,19261,72576,0,FALSE
Escape game : 50 rooms 1,754345,10,4,1.3,2.7,Puzzle,516134,122842,56446,18848,40072,0,FALSE
Tiny Miner,753449,5,4,0,0,Adventure,583782,93073,41661,10380,24550,0,FALSE
Covet Fashion - Dress Up Game,752953,10,4,0.4,0.6,Casual,419680,145021,65512,34343,88394,0,FALSE
Jewels Switch,752635,10,4,0,0.1,Arcade,603783,86183,31653,9078,21935,0,FALSE
SHADOWGUN: DEADZONE,748945,10,4,0.1,0.3,Action,554163,80239,38183,14231,62125,0,FALSE
